0,0,0
0,0,0
0,0,0
0,1,0
0,4,0
0,6,0
0,8,0
0,9,0
0,9,0
0,9,0
0,9,0
0,10,0
0,11,0
0,12,0
0,12,0
0,14,0
0,16,0
0,17,0
0,18,0
0,18,0
0,18,0
0,20,0
0,22,0
1,24,0
1,23,0
1,23,0
1,24,0
1,26,0
2,29,0
4,33,0
6,37,0
7,40,0
8,44,0
9,48,0
10,53,0
13,55,2
17,61,2
18,65,2
20,70,2
22,74,2
25,79,2
28,84,2
32,88,2
36,93,2
39,100,2
44,108,2
46,111,2
49,116,2
52,120,2
54,125,2
58,130,2
62,134,2
66,139,2
71,144,2
74,146,2
75,146,0
75,145,0
78,149,0
82,153,0
90,160,0
92,165,0
92,160,0
90,161,0
89,160,0
89,158,0
88,156,0
93,158,0
96,163,0
101,169,0
106,172,0
108,177,0
113,181,0
116,186,0
117,190,0
122,197,0
128,206,0
133,215,0
139,222,0
141,227,0
142,230,0
146,236,0
155,249,0
163,257,0
171,266,0
177,274,0
183,280,0
185,287,0
189,291,1
190,293,1
194,301,3
200,305,4
203,310,4
206,312,5
213,320,5
217,325,6
218,325,8
220,327,8
221,328,9
223,329,9
223,331,10
225,333,10
221,331,10
221,332,10
221,333,10
222,334,10
223,335,10
225,336,11
226,339,14
228,340,15
227,337,14
225,336,14
225,336,14
226,339,14
224,334,14
224,330,16
226,334,15
228,335,18
233,338,20
235,341,23
237,341,25
242,344,26
247,349,28
254,358,29
259,363,30
262,368,31
266,374,33
269,378,34
273,381,33
274,384,33
278,388,35
281,392,35
284,394,34
286,392,35
287,398,51
289,405,51
290,408,52
289,409,51
288,411,50
291,413,48
294,420,47
295,422,48
298,427,48
297,426,47
295,424,48
296,422,47
295,421,47
294,422,46
295,421,45
297,427,46
294,425,44
294,425,45
294,425,46
294,428,48
294,429,34
294,430,34
293,430,34
300,433,35
302,437,36
302,439,38
302,437,37
299,438,38
298,437,38
298,436,39
303,439,39
305,442,45
310,450,49
315,454,51
307,450,51
306,440,49
303,434,47
298,426,46
296,428,46
301,434,47
307,438,48
314,444,50
318,449,50
319,453,52
322,453,57
322,458,61
324,457,62
331,459,63
334,464,65
336,470,65
336,474,66
340,477,62
339,476,60
340,477,60
351,489,62
357,501,65
368,516,68
374,527,70
377,528,70
375,522,70
372,521,70
374,522,70
378,524,70
377,523,68
379,528,64
386,530,60
390,538,60
390,540,60
393,541,59
396,543,60
398,548,60
399,551,62
403,556,63
409,559,64
414,563,65
418,563,65
418,568,65
425,574,68
431,584,71
436,593,71
443,600,72
443,599,72
442,598,72
445,603,74
446,607,75
447,615,77
447,614,78
449,615,78
451,619,78
451,617,78
452,613,77
454,611,77
454,607,77
453,611,78
452,610,80
453,614,82
458,614,83
459,613,81
460,613,79
462,612,79
462,612,78
461,617,79
464,621,81
466,623,80
469,624,80
468,621,79
471,623,82
473,628,83
476,630,84
478,639,85
478,642,87
482,649,88
487,657,88
487,657,86
488,662,86
489,669,86
488,669,88
491,676,88
489,675,88
491,681,89
494,685,91
497,686,92
496,689,91
501,695,93
501,698,94
503,701,101
504,705,99
506,710,100
507,711,100
512,713,99
